2026-04-07 15:41:56, MOVE, v:1, k:ed@triangulo, mode:DOWN
2026-04-07 15:41:57, MOVE, v:1, k:ed@triangulo, mode:PICK
2026-04-07 15:45:03, MOVE, v:1, k:ed@triangulo, mode:BACK
2026-04-07 15:45:52, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-07 15:58:01, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-07 15:58:35, EXEC, v:1, k:fractais_png@go, mode:FREE, size:163
2026-04-07 15:58:59, EXEC, v:1, k:fractais_png@go, mode:FREE, size:163
2026-04-07 15:59:19, EXEC, v:1, k:fractais_png@go, mode:FREE, size:163
2026-04-07 15:59:37, EXEC, v:1, k:fractais_png@go, mode:FREE, size:163
2026-04-07 16:15:13, EXEC, v:1, k:fractais_png@go, mode:FREE, size:171
2026-04-07 16:16:40, EXEC, v:1, k:fractais_png@go, mode:FREE, size:173
2026-04-07 16:16:48, EXEC, v:1, k:fractais_png@go, mode:FREE, size:173
2026-04-07 16:17:13, EXEC, v:1, k:fractais_png@go, mode:FREE, size:175
2026-04-07 16:18:47, EXEC, v:1, k:fractais_png@go, mode:FREE, size:187
2026-04-07 16:22:22, EXEC, v:1, k:fractais_png@go, mode:FREE, size:201
2026-04-07 16:22:57, EXEC, v:1, k:fractais_png@go, mode:FREE, size:201
2026-04-07 16:25:40, EXEC, v:1, k:fractais_png@go, mode:FREE, size:208
2026-04-07 16:30:00, EXEC, v:1, k:fractais_png@go, mode:FREE, size:215
2026-04-07 16:30:31, EXEC, v:1, k:fractais_png@go, mode:FREE, size:215
2026-04-07 16:30:49, EXEC, v:1, k:fractais_png@go, mode:FREE, size:215
2026-04-07 16:30:59, EXEC, v:1, k:fractais_png@go, mode:FREE, size:215
2026-04-07 16:31:06, EXEC, v:1, k:fractais_png@go, mode:FREE, size:215
2026-04-07 16:32:01, EXEC, v:1, k:fractais_png@go, mode:FREE, size:216
2026-04-07 16:33:57, EXEC, v:1, k:fractais_png@go, mode:FREE, size:215
2026-04-07 16:35:53, EXEC, v:1, k:fractais_png@go, mode:FREE, size:214
2026-04-07 16:36:24, EXEC, v:1, k:fractais_png@go, mode:FREE, size:214
2026-04-07 16:36:34, EXEC, v:1, k:fractais_png@go, mode:FREE, size:214
2026-04-07 16:36:47, EXEC, v:1, k:fractais_png@go, mode:FREE, size:214
2026-04-07 16:37:22, EXEC, v:1, k:fractais_png@go, mode:FREE, size:214
2026-04-07 16:38:58, EXEC, v:1, k:fractais_png@go, mode:FREE, size:219
2026-04-07 16:39:18, EXEC, v:1, k:fractais_png@go, mode:FREE, size:219
2026-04-07 16:40:18, EXEC, v:1, k:fractais_png@go, mode:FREE, size:219
2026-04-07 16:40:50, EXEC, v:1, k:fractais_png@go, mode:FREE, size:219
2026-04-07 16:48:27, EXEC, v:1, k:fractais_png@go, mode:FREE, size:216
2026-04-07 16:50:38, EXEC, v:1, k:fractais_png@go, mode:FREE, size:221
2026-04-07 16:50:56, EXEC, v:1, k:fractais_png@go, mode:FREE, size:221
2026-04-07 16:51:05, EXEC, v:1, k:fractais_png@go, mode:FREE, size:221
